DATE,CXUHEALTHLB0405M
1984-01-01,1245
1985-01-01,1242
1986-01-01,1245
1987-01-01,1255
1988-01-01,1258
1989-01-01,1389
1990-01-01,1597
1991-01-01,1727
1992-01-01,1646
1993-01-01,1817
1994-01-01,1855
1995-01-01,1851
1996-01-01,1838
1997-01-01,1945
1998-01-01,2186
1999-01-01,2183
2000-01-01,2200
2001-01-01,2265
2002-01-01,2550
2003-01-01,2479
2004-01-01,2695
2005-01-01,2672
2006-01-01,2757
2007-01-01,2792
2008-01-01,2930
2009-01-01,3173
2010-01-01,3261
2011-01-01,3411
2012-01-01,3687
2013-01-01,3801
2014-01-01,4497
2015-01-01,4669
2016-01-01,4931
2017-01-01,4967
2018-01-01,5138
2019-01-01,5345
2020-01-01,5465
