DATE,CXUINCAFTAXLB0408M
1984-01-01,14759
1985-01-01,17170
1986-01-01,16688
1987-01-01,17637
1988-01-01,19683
1989-01-01,20758
1990-01-01,20123
1991-01-01,21339
1992-01-01,21642
1993-01-01,22958
1994-01-01,23362
1995-01-01,24205
1996-01-01,24075
1997-01-01,25786
1998-01-01,25654
1999-01-01,27567
2000-01-01,27553
2001-01-01,30801
2002-01-01,33562
2003-01-01,33859
2004-01-01,41126
2005-01-01,43976
2006-01-01,44304
2007-01-01,46334
2008-01-01,44402
2009-01-01,46147
2010-01-01,48595
2011-01-01,51161
2012-01-01,52510
2013-01-01,48742
2014-01-01,47779
2015-01-01,49079
2016-01-01,51358
2017-01-01,50721
2018-01-01,54357
2019-01-01,57371
2020-01-01,56684
