DATE,CXUHEALTHLB0404M
1984-01-01,976
1985-01-01,976
1986-01-01,1077
1987-01-01,1085
1988-01-01,1253
1989-01-01,1356
1990-01-01,1415
1991-01-01,1487
1992-01-01,1570
1993-01-01,1673
1994-01-01,1616
1995-01-01,1607
1996-01-01,1603
1997-01-01,1605
1998-01-01,1688
1999-01-01,1631
2000-01-01,1774
2001-01-01,1879
2002-01-01,1980
2003-01-01,2105
2004-01-01,2263
2005-01-01,2272
2006-01-01,2284
2007-01-01,2315
2008-01-01,2499
2009-01-01,2520
2010-01-01,2583
2011-01-01,2762
2012-01-01,2948
2013-01-01,3188
2014-01-01,4033
2015-01-01,3873
2016-01-01,4076
2017-01-01,4348
2018-01-01,4317
2019-01-01,4822
2020-01-01,4579
