DATE,CXUHEALTHLB0402M
1984-01-01,371
1985-01-01,427
1986-01-01,363
1987-01-01,338
1988-01-01,523
1989-01-01,348
1990-01-01,403
1991-01-01,360
1992-01-01,416
1993-01-01,349
1994-01-01,505
1995-01-01,466
1996-01-01,386
1997-01-01,425
1998-01-01,445
1999-01-01,551
2000-01-01,504
2001-01-01,530
2002-01-01,640
2003-01-01,546
2004-01-01,654
2005-01-01,704
2006-01-01,706
2007-01-01,800
2008-01-01,682
2009-01-01,676
2010-01-01,775
2011-01-01,841
2012-01-01,1024
2013-01-01,943
2014-01-01,1103
2015-01-01,978
2016-01-01,1162
2017-01-01,1547
2018-01-01,1206
2019-01-01,1510
2020-01-01,1350
