DATE,CXUINCAFTAXLB0404M
1984-01-01,27489
1985-01-01,29642
1986-01-01,31133
1987-01-01,32666
1988-01-01,33227
1989-01-01,36931
1990-01-01,36737
1991-01-01,37583
1992-01-01,39518
1993-01-01,40858
1994-01-01,41567
1995-01-01,41338
1996-01-01,44178
1997-01-01,44510
1998-01-01,46762
1999-01-01,49616
2000-01-01,52626
2001-01-01,55326
2002-01-01,58457
2003-01-01,58275
2004-01-01,63202
2005-01-01,69619
2006-01-01,72445
2007-01-01,74051
2008-01-01,75677
2009-01-01,74900
2010-01-01,74136
2011-01-01,75537
2012-01-01,76376
2013-01-01,69152
2014-01-01,72495
2015-01-01,72980
2016-01-01,79271
2017-01-01,75609
2018-01-01,82386
2019-01-01,89486
2020-01-01,92692
