DATE,CXUINCAFTAXLB0409M
1984-01-01,10954
1985-01-01,11553
1986-01-01,11730
1987-01-01,12280
1988-01-01,12886
1989-01-01,15425
1990-01-01,14606
1991-01-01,14612
1992-01-01,17084
1993-01-01,16569
1994-01-01,18676
1995-01-01,17252
1996-01-01,17733
1997-01-01,18590
1998-01-01,19442
1999-01-01,22800
2000-01-01,19759
2001-01-01,21631
2002-01-01,23411
2003-01-01,23185
2004-01-01,27142
2005-01-01,27924
2006-01-01,28850
2007-01-01,31634
2008-01-01,32747
2009-01-01,31272
2010-01-01,31638
2011-01-01,31779
2012-01-01,33439
2013-01-01,32744
2014-01-01,34056
2015-01-01,34553
2016-01-01,33747
2017-01-01,34684
2018-01-01,36609
2019-01-01,38873
2020-01-01,41053
