DATE,CXUHEALTHLB0403M
1984-01-01,746
1985-01-01,763
1986-01-01,739
1987-01-01,766
1988-01-01,777
1989-01-01,913
1990-01-01,981
1991-01-01,1030
1992-01-01,1053
1993-01-01,1128
1994-01-01,1086
1995-01-01,1096
1996-01-01,1119
1997-01-01,1236
1998-01-01,1185
1999-01-01,1170
2000-01-01,1256
2001-01-01,1286
2002-01-01,1417
2003-01-01,1468
2004-01-01,1519
2005-01-01,1522
2006-01-01,1652
2007-01-01,1740
2008-01-01,1737
2009-01-01,1805
2010-01-01,1800
2011-01-01,2094
2012-01-01,2047
2013-01-01,2189
2014-01-01,2659
2015-01-01,2770
2016-01-01,2887
2017-01-01,3163
2018-01-01,3072
2019-01-01,3162
2020-01-01,3320
