DATE,CXUINCAFTAXLB0402M
1984-01-01,11497
1985-01-01,10888
1986-01-01,11525
1987-01-01,11693
1988-01-01,13819
1989-01-01,13868
1990-01-01,13246
1991-01-01,13521
1992-01-01,14411
1993-01-01,15643
1994-01-01,15439
1995-01-01,16195
1996-01-01,14081
1997-01-01,15005
1998-01-01,15973
1999-01-01,17431
2000-01-01,18813
2001-01-01,20330
2002-01-01,20206
2003-01-01,20259
2004-01-01,22507
2005-01-01,27120
2006-01-01,28535
2007-01-01,30802
2008-01-01,27907
2009-01-01,25522
2010-01-01,26777
2011-01-01,27495
2012-01-01,33670
2013-01-01,26559
2014-01-01,28518
2015-01-01,29612
2016-01-01,46633
2017-01-01,29960
2018-01-01,29793
2019-01-01,35578
2020-01-01,42494
