DATE,CXUINCAFTAXLB0406M
1984-01-01,23660
1985-01-01,24648
1986-01-01,25543
1987-01-01,28137
1988-01-01,27327
1989-01-01,31119
1990-01-01,31802
1991-01-01,34401
1992-01-01,33901
1993-01-01,34756
1994-01-01,37408
1995-01-01,35201
1996-01-01,37025
1997-01-01,38234
1998-01-01,40834
1999-01-01,45193
2000-01-01,44109
2001-01-01,48433
2002-01-01,50306
2003-01-01,55844
2004-01-01,58043
2005-01-01,61068
2006-01-01,60894
2007-01-01,67965
2008-01-01,69009
2009-01-01,67586
2010-01-01,66611
2011-01-01,72115
2012-01-01,73302
2013-01-01,63312
2014-01-01,63703
2015-01-01,63984
2016-01-01,67814
2017-01-01,71520
2018-01-01,73351
2019-01-01,81865
2020-01-01,79146
