DATE,CXUHEALTHLB0408M
1984-01-01,1485
1985-01-01,1649
1986-01-01,1629
1987-01-01,1688
1988-01-01,2005
1989-01-01,1981
1990-01-01,2197
1991-01-01,2300
1992-01-01,2487
1993-01-01,2610
1994-01-01,2592
1995-01-01,2618
1996-01-01,2634
1997-01-01,2900
1998-01-01,2933
1999-01-01,2991
2000-01-01,3163
2001-01-01,3583
2002-01-01,3588
2003-01-01,3626
2004-01-01,3799
2005-01-01,4176
2006-01-01,4379
2007-01-01,4967
2008-01-01,4779
2009-01-01,4906
2010-01-01,4922
2011-01-01,5038
2012-01-01,5259
2013-01-01,5188
2014-01-01,5956
2015-01-01,5715
2016-01-01,6014
2017-01-01,6723
2018-01-01,6711
2019-01-01,6772
2020-01-01,6695
