Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
22,0.00073,0.00076,0.00076,0.00076,0.00077,0.00077,0.00077,0.00077,0.00080,0.00083,0.00088,0.00091,0.00096,0.00104,0.00115
23,0.00073,0.00076,0.00075,0.00075,0.00075,0.00076,0.00077,0.00077,0.00080,0.00084,0.00090,0.00094,0.00100,0.00110,0.00121
24,0.00073,0.00074,0.00073,0.00073,0.00074,0.00076,0.00077,0.00078,0.00082,0.00087,0.00093,0.00097,0.00105,0.00117,0.00129
25,0.00072,0.00072,0.00072,0.00072,0.00074,0.00076,0.00077,0.00079,0.00084,0.00090,0.00096,0.00103,0.00112,0.00125,0.00138
26,0.00070,0.00070,0.00071,0.00072,0.00073,0.00076,0.00078,0.00082,0.00088,0.00095,0.00102,0.00109,0.00120,0.00135,0.00149
27,0.00068,0.00068,0.00070,0.00071,0.00073,0.00077,0.00081,0.00086,0.00092,0.00101,0.00108,0.00117,0.00130,0.00147,0.00163
28,0.00066,0.00068,0.00071,0.00073,0.00076,0.00081,0.00086,0.00092,0.00100,0.00108,0.00117,0.00128,0.00142,0.00161,0.00181
29,0.00065,0.00068,0.00073,0.00076,0.00081,0.00086,0.00092,0.00100,0.00108,0.00117,0.00128,0.00142,0.00158,0.00181,0.00203
30,0.00064,0.00068,0.00076,0.00081,0.00086,0.00092,0.00100,0.00108,0.00117,0.00128,0.00142,0.00158,0.00181,0.00203,0.00226
31,0.00063,0.00069,0.00079,0.00086,0.00092,0.00100,0.00108,0.00117,0.00128,0.00142,0.00158,0.00181,0.00203,0.00226,0.00253
32,0.00063,0.00071,0.00084,0.00092,0.00100,0.00108,0.00117,0.00128,0.00140,0.00158,0.00181,0.00203,0.00226,0.00253,0.00283
33,0.00063,0.00072,0.00088,0.00098,0.00108,0.00117,0.00128,0.00140,0.00158,0.00178,0.00201,0.00225,0.00253,0.00283,0.00317
34,0.00063,0.00073,0.00093,0.00105,0.00117,0.00128,0.00140,0.00158,0.00178,0.00201,0.00224,0.00253,0.00281,0.00316,0.00354
35,0.00063,0.00076,0.00099,0.00114,0.00128,0.00140,0.00158,0.00178,0.00201,0.00224,0.00253,0.00280,0.00313,0.00352,0.00394
36,0.00065,0.00079,0.00106,0.00125,0.00140,0.00158,0.00178,0.00201,0.00224,0.00253,0.00280,0.00310,0.00348,0.00391,0.00436
37,0.00067,0.00084,0.00115,0.00137,0.00158,0.00178,0.00201,0.00224,0.00253,0.00280,0.00308,0.00343,0.00386,0.00432,0.00482
38,0.00070,0.00089,0.00123,0.00147,0.00170,0.00191,0.00216,0.00241,0.00272,0.00304,0.00335,0.00376,0.00425,0.00478,0.00533
39,0.00074,0.00095,0.00133,0.00159,0.00183,0.00207,0.00233,0.00260,0.00293,0.00327,0.00364,0.00410,0.00467,0.00528,0.00588
40,0.00079,0.00102,0.00145,0.00173,0.00200,0.00223,0.00251,0.00279,0.00313,0.00351,0.00394,0.00447,0.00513,0.00582,0.00648
41,0.00085,0.00111,0.00159,0.00190,0.00217,0.00242,0.00270,0.00298,0.00333,0.00375,0.00424,0.00486,0.00562,0.00641,0.00712
42,0.00092,0.00122,0.00176,0.00209,0.00237,0.00262,0.00289,0.00318,0.00352,0.00399,0.00457,0.00528,0.00615,0.00705,0.00785
43,0.00099,0.00137,0.00192,0.00230,0.00261,0.00288,0.00318,0.00347,0.00383,0.00433,0.00496,0.00571,0.00663,0.00761,0.00850
44,0.00108,0.00153,0.00211,0.00252,0.00286,0.00317,0.00347,0.00379,0.00417,0.00470,0.00537,0.00616,0.00716,0.00820,0.00922
45,0.00117,0.00172,0.00231,0.00275,0.00313,0.00347,0.00379,0.00414,0.00456,0.00508,0.00580,0.00666,0.00773,0.00885,0.01002
46,0.00128,0.00194,0.00251,0.00300,0.00340,0.00378,0.00414,0.00456,0.00491,0.00548,0.00628,0.00719,0.00835,0.00956,0.01089
47,0.00139,0.00217,0.00273,0.00325,0.00369,0.00413,0.00456,0.00489,0.00531,0.00593,0.00679,0.00778,0.00903,0.01034,0.01185
48,0.00149,0.00227,0.00284,0.00340,0.00390,0.00438,0.00487,0.00528,0.00580,0.00649,0.00753,0.00864,0.00994,0.01130,0.01279
49,0.00160,0.00235,0.00295,0.00354,0.00409,0.00462,0.00518,0.00570,0.00633,0.00712,0.00836,0.00960,0.01096,0.01232,0.01375
50,0.00170,0.00242,0.00304,0.00366,0.00429,0.00487,0.00551,0.00615,0.00693,0.00783,0.00930,0.01069,0.01206,0.01340,0.01477
51,0.00180,0.00248,0.00312,0.00377,0.00447,0.00512,0.00586,0.00665,0.00759,0.00861,0.01035,0.01189,0.01324,0.01456,0.01583
52,0.00190,0.00252,0.00317,0.00385,0.00465,0.00538,0.00623,0.00720,0.00832,0.00948,0.01151,0.01318,0.01452,0.01580,0.01696
53,0.00206,0.00275,0.00346,0.00423,0.00508,0.00590,0.00684,0.00789,0.00911,0.01043,0.01263,0.01452,0.01580,0.01696,0.01916
54,0.00223,0.00299,0.00378,0.00464,0.00557,0.00647,0.00752,0.00866,0.00996,0.01144,0.01385,0.01580,0.01696,0.01916,0.02162
55,0.00241,0.00327,0.00412,0.00510,0.00611,0.00711,0.00827,0.00950,0.01086,0.01254,0.01517,0.01696,0.01916,0.02162,0.02439
56,0.00261,0.00356,0.00451,0.00561,0.00671,0.00783,0.00909,0.01038,0.01183,0.01373,0.01662,0.01916,0.02162,0.02439,0.02747
57,0.00282,0.00389,0.00494,0.00618,0.00738,0.00860,0.00996,0.01133,0.01287,0.01503,0.01821,0.02136,0.02439,0.02715,0.03087
58,0.00296,0.00413,0.00544,0.00674,0.00810,0.00920,0.01059,0.01205,0.01366,0.01594,0.01922,0.02243,0.02564,0.02858,0.03276
