Table Name:,2008 VBT Female RR100 Smoker ANB,,,,,,,,,,,,,,,,,,,,,,,,
Table Identity:,1033,,,,,,,,,,,,,,,,,,,,,,,,
Provider Domain:,soa.org,,,,,,,,,,,,,,,,,,,,,,,,
Provider Name:,Society of Actuaries,,,,,,,,,,,,,,,,,,,,,,,,
Table Reference:,"“Appendix  F – Relative Risk Tables”, Society of Actuaries. Accessed: July, 2018 from http://www.soa.org/Files/Zip/research-2008-vbt-report-app-f.pdf",,,,,,,,,,,,,,,,,,,,,,,,
Content Type:,Insured Lives Mortality,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,"2008 Valuation Basic Table (VBT) Relative Risk (RR) - Female, 100%, Smoker, Age Nearest Birthday. Minimum Age: 18. Maximum Age: 90.",,,,,,,,,,,,,,,,,,,,,,,,
EffDate:,,,,,,,,,,,,,,,,,,,,,,,,,
Comments:,The 2008 VBT is composed of two aggregate or combined standard and preferred risk tables. The aggregate tables are referred to as the Primary Table and the Limited Underwriting Table.  The Team then subdivided the Primary Table into multiple tables to reflect the range of expected mortality from super-preferred to residual standard risk.  These multiple tables are referred to as the Relative Risk (RR) Tables. This RR 100 table and the corresponding Primary table are essentially the same except that ages 0-17 are not included in the RR 100 table. Data Certified: 07/2018.,,,,,,,,,,,,,,,,,,,,,,,,
Keywords:,"Select,Insured Lives Mortality,United States of America",,,,,,,,,,,,,,,,,,,,,,,,

Table # ,1,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,"Relative Risk Table-Female, 100%, Smoker, age nearest birthday, Select",,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,Ordinal Date,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",18,1,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",90,25,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,1,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
18,0.00067,0.0006,0.00056,0.00051,0.00044,0.0004,0.00036,0.00035,0.00039,0.00041,0.00044,0.00047,0.00051,0.00055,0.00059,0.00066,0.00076,0.00086,0.00097,0.00107,0.00118,0.00129,0.00142,0.00154,0.00167
19,0.0006,0.00056,0.00051,0.00044,0.0004,0.00036,0.00033,0.00035,0.0004,0.00043,0.00046,0.00049,0.00053,0.00057,0.00063,0.00073,0.00083,0.00094,0.00107,0.00118,0.00129,0.00142,0.00154,0.00167,0.0018
20,0.00056,0.00051,0.00044,0.0004,0.00036,0.00033,0.00032,0.00035,0.0004,0.00044,0.00048,0.00051,0.00055,0.00061,0.0007,0.0008,0.0009,0.00103,0.00117,0.00129,0.00142,0.00153,0.00165,0.0018,0.00197
21,0.00051,0.00044,0.0004,0.00036,0.00033,0.00032,0.00032,0.00038,0.00041,0.00046,0.00051,0.00053,0.0006,0.00066,0.00074,0.00085,0.00098,0.00113,0.00127,0.0014,0.00152,0.00165,0.00178,0.00195,0.00213
22,0.00044,0.0004,0.00036,0.00033,0.00032,0.00032,0.00034,0.00039,0.00044,0.00049,0.00053,0.00058,0.00064,0.00071,0.00079,0.00092,0.00107,0.00123,0.00137,0.00152,0.00165,0.00178,0.00193,0.00211,0.00235
23,0.0004,0.00036,0.00033,0.00032,0.00032,0.00032,0.00035,0.00042,0.00047,0.00051,0.00056,0.00062,0.00069,0.00076,0.00086,0.00099,0.00115,0.00131,0.00148,0.00162,0.00175,0.00192,0.00209,0.00233,0.00265
24,0.00036,0.00033,0.00032,0.00032,0.00032,0.00033,0.00038,0.00043,0.0005,0.00056,0.00061,0.00067,0.00074,0.00081,0.00092,0.00107,0.00123,0.00141,0.0016,0.00175,0.0019,0.00209,0.00231,0.00263,0.00299
25,0.00032,0.00032,0.00032,0.00032,0.00033,0.00036,0.0004,0.00046,0.00054,0.00061,0.00066,0.00071,0.00079,0.00086,0.00097,0.00115,0.00133,0.00151,0.0017,0.0019,0.00207,0.0023,0.00262,0.00297,0.00338
26,0.00031,0.00032,0.00032,0.00033,0.00036,0.00037,0.00041,0.00049,0.00056,0.00064,0.00069,0.00076,0.00083,0.00094,0.00107,0.00124,0.00143,0.00164,0.00183,0.00205,0.00226,0.00249,0.00279,0.00313,0.0036
27,0.0003,0.00032,0.00033,0.00036,0.00037,0.0004,0.00045,0.00051,0.00059,0.00068,0.00074,0.00083,0.00092,0.00103,0.00119,0.00137,0.00155,0.00177,0.00198,0.0022,0.00243,0.0027,0.00304,0.00341,0.00396
28,0.0003,0.00033,0.00036,0.00037,0.0004,0.00044,0.00048,0.00056,0.00065,0.00073,0.00082,0.00091,0.00102,0.00115,0.00131,0.00149,0.00171,0.00192,0.00214,0.00238,0.00266,0.00295,0.00332,0.00372,0.00434
29,0.0003,0.00036,0.00037,0.0004,0.00044,0.00045,0.00051,0.00062,0.0007,0.00081,0.0009,0.00101,0.00112,0.00127,0.00146,0.00165,0.00186,0.0021,0.00235,0.00259,0.00289,0.00322,0.00361,0.00406,0.00475
30,0.0003,0.00037,0.0004,0.00044,0.00045,0.0005,0.00057,0.00067,0.00078,0.00089,0.001,0.00111,0.00126,0.00142,0.00161,0.00182,0.00205,0.00229,0.00256,0.00286,0.0032,0.00359,0.00398,0.00443,0.00521
31,0.00031,0.0004,0.00044,0.00045,0.00049,0.00054,0.00064,0.00075,0.00086,0.00099,0.0011,0.00125,0.00141,0.0016,0.00181,0.00203,0.00228,0.00254,0.00286,0.0032,0.00359,0.00398,0.00443,0.00492,0.00568
