Table Name:,2008 VBT Male RR130 (UCS118) Non-Smoker ANB,,,,,,,,,,,,,,,,,,,,,,,,
Table Identity:,1053,,,,,,,,,,,,,,,,,,,,,,,,
Provider Domain:,soa.org,,,,,,,,,,,,,,,,,,,,,,,,
Provider Name:,American Academy of Actuaries along with the Society of Actuaries,,,,,,,,,,,,,,,,,,,,,,,,
Table Reference:,"“2008 Valuation Basic Table”, American Academy of Actuaries /Society of Actuaries, Joint Preferred Mortality Project Oversight Group (paper presented at the March 2008 meeting of the National Association of Insurance Commissioners’ Life and Health Actuarial Task Force, Orlando, Florida, March, 2008) p. 101-102. Accessed: October, 2012 from http://www.actuary.org/pdf/life/tables_march08.pdf",,,,,,,,,,,,,,,,,,,,,,,,
Content Type:,Insured Lives Mortality,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,"2008 Valuation Basic Table (VBT) Relative Risk (RR) - Male, 130% (UCS118), Non-Smoker, Age Nearest Birthday. Minimum Age: 18. Maximum Age: 90.",,,,,,,,,,,,,,,,,,,,,,,,
EffDate:,,,,,,,,,,,,,,,,,,,,,,,,,
Comments:,"Study Data: The underlying data used in developing the 2008 Valuation Basic Table (VBT) was a subset of the Society of Actuaries (SOA) Individual Life Experience Committee's (ILEC) 2002-2004 Intercompany Study comprised of claims from 35 contributing companies. Of these 35 companies, 28 companies maintained preferred class underwriting criteria. Nevertheless, this data proved insufficient to develop all the relationships needed for construction of the Relative Risk tables. Consequently, research from a reinsurer heavily supplemented the data. Methodology: Relative Risk Ratios were developed from an Underwriting Criteria Score (UCS). The Relative Risk Ratios were then applied to the 2008 Primary Table to create 10 preferred non-smoker tables and 4 preferred smoker tables delineated by gender. Next, a Preferred Wear-Off Factor was applied to durations 2 and later. The Wear-Off Factors result in the relative risk tables grading into the corresponding aggregate table at higher attained ages. The Preferred Wear-Off Factors are the same for all the Relative Risk tables. Data Transcription Errors: None. Data Certified: 10/2012.",,,,,,,,,,,,,,,,,,,,,,,,
Keywords:,"Select,Insured Lives Mortality,United States of America",,,,,,,,,,,,,,,,,,,,,,,,

Table # ,1,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,"2008 Valuation Basic Table (VBT) Relative Risk (RR) - Male, 130% (UCS118), Non-Smoker, Age Nearest Birthday. Minimum Age: 18. Maximum Age: 90. Select",,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,Ordinal Date,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",18,1,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",90,25,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,1,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
18,0.00066,0.00072,0.0008,0.00087,0.00092,0.00093,0.0009,0.00087,0.00084,0.00081,0.00081,0.00084,0.00085,0.00087,0.0009,0.00093,0.00098,0.00104,0.0011,0.00118,0.00127,0.00137,0.00148,0.00161,0.00177
19,0.00068,0.00074,0.00081,0.00086,0.00087,0.00086,0.00082,0.00079,0.00076,0.00076,0.00078,0.00081,0.00084,0.00087,0.00091,0.00096,0.00101,0.00107,0.00115,0.00122,0.00133,0.00143,0.00155,0.0017,0.00186
20,0.0007,0.00075,0.00079,0.00081,0.00081,0.00078,0.00074,0.00072,0.00072,0.00074,0.00075,0.0008,0.00084,0.00088,0.00093,0.00098,0.00104,0.00111,0.00118,0.00126,0.00137,0.00149,0.00162,0.00179,0.00198
21,0.0007,0.00073,0.00074,0.00074,0.00073,0.0007,0.00067,0.00067,0.00068,0.00072,0.00074,0.00079,0.00085,0.0009,0.00095,0.00101,0.00107,0.00115,0.00123,0.00131,0.00142,0.00155,0.00171,0.00189,0.00208
22,0.00068,0.00067,0.00067,0.00067,0.00066,0.00063,0.00062,0.00063,0.00066,0.00069,0.00072,0.00079,0.00086,0.00092,0.00098,0.00104,0.00111,0.00118,0.00127,0.00136,0.00148,0.00164,0.0018,0.00198,0.0022
23,0.00063,0.0006,0.0006,0.0006,0.00059,0.00059,0.00059,0.0006,0.00063,0.00065,0.00072,0.0008,0.00087,0.00095,0.00102,0.00108,0.00115,0.00123,0.00132,0.00142,0.00156,0.00171,0.00188,0.00208,0.00232
24,0.00056,0.00053,0.00053,0.00053,0.00054,0.00055,0.00056,0.00058,0.0006,0.00065,0.00073,0.00082,0.0009,0.00097,0.00104,0.00112,0.00119,0.00127,0.00137,0.00148,0.00163,0.00178,0.00197,0.00219,0.00245
25,0.00049,0.00046,0.00046,0.00048,0.00051,0.00052,0.00053,0.00054,0.00058,0.00066,0.00075,0.00084,0.00093,0.00101,0.00108,0.00116,0.00123,0.00132,0.00142,0.00154,0.00168,0.00186,0.00207,0.00232,0.00261
26,0.00043,0.00041,0.00043,0.00046,0.00048,0.0005,0.00051,0.00054,0.00059,0.00068,0.00076,0.00086,0.00094,0.00103,0.00111,0.0012,0.00128,0.00139,0.0015,0.00164,0.0018,0.00199,0.00222,0.00248,0.00279
27,0.00038,0.00038,0.00041,0.00044,0.00046,0.00046,0.00051,0.00054,0.00061,0.00069,0.00078,0.00087,0.00097,0.00107,0.00115,0.00125,0.00135,0.00147,0.0016,0.00176,0.00192,0.00214,0.00238,0.00265,0.003
