Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
16,0.00039,0.00046,0.00050,0.00051,0.00053,0.00058,0.00056,0.00055,0.00054,0.00053,0.00054,0.00057,0.00060,0.00063,0.00066
17,0.00045,0.00049,0.00050,0.00051,0.00053,0.00056,0.00055,0.00054,0.00053,0.00054,0.00057,0.00060,0.00063,0.00066,0.00067
18,0.00047,0.00049,0.00050,0.00052,0.00054,0.00055,0.00054,0.00053,0.00054,0.00057,0.00060,0.00063,0.00066,0.00067,0.00070
19,0.00048,0.00049,0.00051,0.00054,0.00055,0.00054,0.00053,0.00054,0.00057,0.00060,0.00063,0.00066,0.00067,0.00070,0.00076
20,0.00048,0.00050,0.00052,0.00054,0.00054,0.00053,0.00054,0.00057,0.00060,0.00063,0.00066,0.00067,0.00070,0.00076,0.00083
21,0.00049,0.00051,0.00054,0.00053,0.00053,0.00054,0.00057,0.00060,0.00063,0.00066,0.00067,0.00070,0.00076,0.00083,0.00092
22,0.00050,0.00054,0.00052,0.00053,0.00054,0.00057,0.00060,0.00063,0.00066,0.00067,0.00070,0.00076,0.00083,0.00092,0.00102
23,0.00051,0.00052,0.00052,0.00054,0.00057,0.00060,0.00063,0.00066,0.00067,0.00070,0.00076,0.00083,0.00092,0.00102,0.00116
24,0.00051,0.00052,0.00053,0.00057,0.00060,0.00063,0.00066,0.00067,0.00070,0.00076,0.00083,0.00092,0.00102,0.00116,0.00131
25,0.00052,0.00053,0.00056,0.00060,0.00063,0.00066,0.00067,0.00070,0.00076,0.00083,0.00092,0.00102,0.00116,0.00131,0.00145
26,0.00053,0.00055,0.00060,0.00063,0.00066,0.00067,0.00070,0.00076,0.00083,0.00092,0.00102,0.00116,0.00131,0.00145,0.00160
27,0.00054,0.00059,0.00063,0.00066,0.00067,0.00070,0.00076,0.00083,0.00092,0.00102,0.00116,0.00131,0.00145,0.00160,0.00176
28,0.00057,0.00062,0.00066,0.00067,0.00070,0.00076,0.00083,0.00092,0.00102,0.00116,0.00131,0.00145,0.00160,0.00176,0.00191
29,0.00060,0.00065,0.00067,0.00070,0.00076,0.00083,0.00092,0.00102,0.00116,0.00131,0.00145,0.00160,0.00176,0.00191,0.00207
30,0.00064,0.00067,0.00070,0.00076,0.00083,0.00092,0.00102,0.00116,0.00131,0.00145,0.00160,0.00176,0.00191,0.00207,0.00226
31,0.00067,0.00070,0.00076,0.00083,0.00092,0.00102,0.00116,0.00131,0.00145,0.00160,0.00176,0.00191,0.00207,0.00226,0.00248
32,0.00070,0.00076,0.00083,0.00092,0.00102,0.00116,0.00131,0.00145,0.00160,0.00176,0.00191,0.00207,0.00226,0.00248,0.00270
33,0.00072,0.00081,0.00090,0.00101,0.00113,0.00129,0.00145,0.00159,0.00176,0.00191,0.00207,0.00226,0.00247,0.00270,0.00292
34,0.00074,0.00085,0.00097,0.00110,0.00124,0.00141,0.00158,0.00174,0.00191,0.00207,0.00226,0.00247,0.00269,0.00292,0.00317
35,0.00075,0.00089,0.00104,0.00119,0.00136,0.00153,0.00170,0.00188,0.00207,0.00226,0.00247,0.00267,0.00292,0.00317,0.00344
36,0.00076,0.00094,0.00111,0.00129,0.00147,0.00165,0.00183,0.00203,0.00225,0.00246,0.00266,0.00288,0.00315,0.00341,0.00371
37,0.00077,0.00098,0.00118,0.00138,0.00159,0.00178,0.00197,0.00218,0.00241,0.00263,0.00285,0.00309,0.00338,0.00366,0.00400
38,0.00079,0.00102,0.00125,0.00148,0.00171,0.00192,0.00212,0.00233,0.00256,0.00278,0.00302,0.00329,0.00360,0.00391,0.00429
39,0.00080,0.00106,0.00132,0.00158,0.00184,0.00206,0.00227,0.00248,0.00271,0.00293,0.00318,0.00348,0.00382,0.00416,0.00460
40,0.00082,0.00110,0.00139,0.00168,0.00196,0.00220,0.00242,0.00264,0.00286,0.00308,0.00333,0.00367,0.00404,0.00443,0.00493
41,0.00084,0.00114,0.00146,0.00179,0.00209,0.00234,0.00257,0.00280,0.00301,0.00324,0.00351,0.00387,0.00428,0.00475,0.00531
42,0.00087,0.00119,0.00154,0.00189,0.00221,0.00248,0.00273,0.00297,0.00318,0.00342,0.00371,0.00409,0.00456,0.00512,0.00576
43,0.00090,0.00125,0.00162,0.00199,0.00233,0.00262,0.00289,0.00314,0.00337,0.00364,0.00396,0.00436,0.00491,0.00558,0.00630
44,0.00095,0.00131,0.00171,0.00209,0.00244,0.00276,0.00304,0.00332,0.00359,0.00391,0.00426,0.00471,0.00535,0.00611,0.00692
45,0.00100,0.00139,0.00180,0.00220,0.00255,0.00290,0.00320,0.00352,0.00382,0.00420,0.00460,0.00511,0.00585,0.00669,0.00759
46,0.00105,0.00148,0.00190,0.00231,0.00267,0.00304,0.00338,0.00372,0.00408,0.00450,0.00496,0.00555,0.00637,0.00730,0.00829
47,0.00112,0.00158,0.00202,0.00242,0.00280,0.00318,0.00356,0.00395,0.00435,0.00480,0.00534,0.00603,0.00690,0.00791,0.00900
48,0.00123,0.00174,0.00223,0.00264,0.00304,0.00343,0.00385,0.00427,0.00471,0.00519,0.00578,0.00654,0.00742,0.00850,0.00969
49,0.00139,0.00199,0.00256,0.00301,0.00343,0.00380,0.00427,0.00471,0.00518,0.00570,0.00631,0.00707,0.00796,0.00909,0.01037
50,0.00158,0.00227,0.00293,0.00343,0.00378,0.00427,0.00470,0.00518,0.00569,0.00626,0.00687,0.00763,0.00853,0.00972,0.01109
51,0.00175,0.00252,0.00328,0.00371,0.00427,0.00468,0.00511,0.00561,0.00615,0.00678,0.00741,0.00819,0.00913,0.01040,0.01191
52,0.00188,0.00270,0.00351,0.00408,0.00454,0.00496,0.00540,0.00592,0.00651,0.00717,0.00789,0.00875,0.00979,0.01117,0.01286
53,0.00190,0.00274,0.00354,0.00412,0.00459,0.00501,0.00544,0.00597,0.00667,0.00740,0.00825,0.00928,0.01046,0.01202,0.01396
54,0.00192,0.00278,0.00358,0.00417,0.00464,0.00506,0.00548,0.00602,0.00683,0.00755,0.00852,0.00978,0.01114,0.01297,0.01527
55,0.00194,0.00283,0.00361,0.00421,0.00470,0.00510,0.00553,0.00607,0.00699,0.00772,0.00880,0.01031,0.01193,0.01412,0.01686
56,0.00196,0.00287,0.00365,0.00426,0.00475,0.00515,0.00557,0.00612,0.00715,0.00802,0.00920,0.01090,0.01291,0.01555,0.01883
57,0.00198,0.00291,0.00368,0.00430,0.00480,0.00520,0.00561,0.00617,0.00731,0.00853,0.00980,0.01160,0.01417,0.01737,0.02128
58,0.00213,0.00318,0.00409,0.00479,0.00520,0.00561,0.00617,0.00731,0.00853,0.00980,0.01097,0.01265,0.01584,0.01969,0.02431
59,0.00229,0.00349,0.00457,0.00520,0.00561,0.00617,0.00731,0.00853,0.00980,0.01097,0.01189,0.01418,0.01793,0.02249,0.02790
60,0.00247,0.00383,0.00508,0.00561,0.00617,0.00731,0.00853,0.00980,0.01097,0.01182,0.01336,0.01610,0.02039,0.02568,0.03190
