Table Name:,2008 VBT Female RR90 (UCS75) Non-Smoker ANB,,,,,,,,,,,,,,,,,,,,,,,,
Table Identity:,1021,,,,,,,,,,,,,,,,,,,,,,,,
Provider Domain:,soa.org,,,,,,,,,,,,,,,,,,,,,,,,
Provider Name:,American Academy of Actuaries along with the Society of Actuaries,,,,,,,,,,,,,,,,,,,,,,,,
Table Reference:,"“2008 Valuation Basic Table”, American Academy of Actuaries /Society of Actuaries, Joint Preferred Mortality Project Oversight Group (paper presented at the March 2008 meeting of the National Association of Insurance Commissioners’ Life and Health Actuarial Task Force, Orlando, Florida, March, 2008) p. 151-152. Accessed: October, 2012 from http://www.actuary.org/pdf/life/tables_march08.pdf",,,,,,,,,,,,,,,,,,,,,,,,
Content Type:,Insured Lives Mortality,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,"2008 Valuation Basic Table (VBT) Relative Risk (RR) - Female, 90% (UCS75), Non-Smoker, Age Nearest Birthday. Minimum Age: 18. Maximum Age: 90.",,,,,,,,,,,,,,,,,,,,,,,,
EffDate:,,,,,,,,,,,,,,,,,,,,,,,,,
Comments:,"Study Data: The underlying data used in developing the 2008 Valuation Basic Table (VBT) was a subset of the Society of Actuaries (SOA) Individual Life Experience Committee's (ILEC) 2002-2004 Intercompany Study comprised of claims from 35 contributing companies. Of these 35 companies, 28 companies maintained preferred class underwriting criteria. Nevertheless, this data proved insufficient to develop all the relationships needed for construction of the Relative Risk tables. Consequently, research from a reinsurer heavily supplemented the data. Methodology: Relative Risk Ratios were developed from an Underwriting Criteria Score (UCS). The Relative Risk Ratios were then applied to the 2008 Primary Table to create 10 preferred non-smoker tables and 4 preferred smoker tables delineated by gender. Next, a Preferred Wear-Off Factor was applied to durations 2 and later. The Wear-Off Factors result in the relative risk tables grading into the corresponding aggregate table at higher attained ages. The Preferred Wear-Off Factors are the same for all the Relative Risk tables. Data Transcription Errors: None. Data Certified: 10/2012.",,,,,,,,,,,,,,,,,,,,,,,,
Keywords:,"Select,Insured Lives Mortality,United States of America",,,,,,,,,,,,,,,,,,,,,,,,

Table # ,1,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,"2008 Valuation Basic Table (VBT) Relative Risk (RR) - Female, 90% (UCS75), Non-Smoker, Age Nearest Birthday. Minimum Age: 18. Maximum Age: 90. Select",,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,Ordinal Date,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",18,1,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",90,25,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,1,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
18,0.00019,0.00021,0.00022,0.00022,0.00022,0.00022,0.00022,0.00023,0.00024,0.00024,0.00025,0.00026,0.00028,0.00029,0.00031,0.00035,0.0004,0.00044,0.00049,0.00053,0.00057,0.00061,0.00066,0.0007,0.00075
19,0.00018,0.0002,0.00021,0.00021,0.00021,0.00021,0.00022,0.00023,0.00024,0.00025,0.00026,0.00027,0.00029,0.0003,0.00033,0.00038,0.00042,0.00047,0.00053,0.00057,0.00061,0.00066,0.0007,0.00075,0.00079
20,0.00017,0.00019,0.0002,0.0002,0.0002,0.0002,0.00021,0.00022,0.00024,0.00025,0.00027,0.00028,0.0003,0.00032,0.00036,0.00041,0.00045,0.00051,0.00056,0.00061,0.00066,0.00069,0.00074,0.00079,0.00086
21,0.00016,0.00018,0.00019,0.00019,0.00019,0.0002,0.00021,0.00023,0.00024,0.00026,0.00028,0.00029,0.00031,0.00034,0.00038,0.00043,0.00048,0.00055,0.0006,0.00065,0.00069,0.00074,0.00079,0.00085,0.00092
22,0.00014,0.00018,0.00019,0.00019,0.00019,0.0002,0.00021,0.00023,0.00025,0.00027,0.00029,0.00031,0.00033,0.00036,0.0004,0.00045,0.00052,0.00058,0.00064,0.00069,0.00074,0.00079,0.00084,0.00092,0.00102
23,0.00013,0.00017,0.00019,0.00019,0.00019,0.0002,0.00021,0.00024,0.00026,0.00028,0.0003,0.00032,0.00035,0.00038,0.00043,0.00048,0.00055,0.00061,0.00068,0.00073,0.00078,0.00084,0.00091,0.00101,0.00115
24,0.00012,0.00016,0.00018,0.00019,0.00019,0.0002,0.00022,0.00024,0.00027,0.0003,0.00032,0.00034,0.00037,0.0004,0.00045,0.00051,0.00058,0.00065,0.00072,0.00078,0.00084,0.00091,0.001,0.00114,0.0013
25,0.00011,0.00015,0.00018,0.00019,0.0002,0.0002,0.00022,0.00025,0.00029,0.00032,0.00033,0.00035,0.00039,0.00042,0.00046,0.00054,0.00061,0.00069,0.00076,0.00084,0.0009,0.00099,0.00113,0.00129,0.00147
26,0.00011,0.00015,0.00018,0.00019,0.0002,0.0002,0.00022,0.00026,0.0003,0.00033,0.00034,0.00037,0.0004,0.00045,0.0005,0.00058,0.00065,0.00073,0.00081,0.00089,0.00098,0.00107,0.0012,0.00136,0.00157
27,0.00011,0.00015,0.00018,0.00019,0.0002,0.0002,0.00023,0.00027,0.00031,0.00034,0.00036,0.0004,0.00044,0.00048,0.00055,0.00062,0.0007,0.00078,0.00087,0.00095,0.00104,0.00116,0.00131,0.00148,0.00172
28,0.00011,0.00016,0.00018,0.00019,0.0002,0.00021,0.00024,0.00028,0.00032,0.00035,0.00039,0.00043,0.00048,0.00053,0.0006,0.00067,0.00075,0.00084,0.00092,0.00102,0.00113,0.00125,0.00142,0.00162,0.00188
29,0.00011,0.00016,0.00018,0.0002,0.00021,0.00022,0.00025,0.0003,0.00034,0.00038,0.00042,0.00047,0.00051,0.00058,0.00065,0.00073,0.00081,0.0009,0.001,0.00109,0.00121,0.00135,0.00153,0.00176,0.00205
30,0.00012,0.00017,0.00019,0.00021,0.00021,0.00024,0.00027,0.00032,0.00036,0.00041,0.00046,0.0005,0.00057,0.00063,0.00071,0.00079,0.00088,0.00097,0.00107,0.00119,0.00132,0.00147,0.00166,0.00191,0.00224
31,0.00012,0.00017,0.0002,0.00021,0.00022,0.00025,0.0003,0.00034,0.00039,0.00045,0.00049,0.00056,0.00062,0.0007,0.00078,0.00087,0.00096,0.00105,0.00116,0.00128,0.00142,0.00159,0.0018,0.00208,0.00242
32,0.00013,0.00018,0.0002,0.00022,0.00024,0.00027,0.00032,0.00037,0.00043,0.00048,0.00055,0.00061,0.00069,0.00077,0.00086,0.00094,0.00104,0.00115,0.00126,0.00139,0.00154,0.00173,0.00195,0.00225,0.00264
33,0.00013,0.00019,0.00021,0.00023,0.00025,0.0003,0.00034,0.00041,0.00047,0.00053,0.0006,0.00068,0.00076,0.00085,0.00094,0.00103,0.00114,0.00124,0.00136,0.0015,0.00167,0.00187,0.00212,0.00244,0.00287
34,0.00014,0.0002,0.00022,0.00024,0.00028,0.00033,0.00038,0.00045,0.00051,0.00059,0.00066,0.00074,0.00084,0.00093,0.00103,0.00113,0.00124,0.00135,0.00148,0.00163,0.00181,0.00203,0.0023,0.00265,0.00311
35,0.00015,0.0002,0.00023,0.00025,0.0003,0.00035,0.00042,0.00048,0.00056,0.00064,0.00072,0.00083,0.00092,0.00102,0.00112,0.00124,0.00135,0.00147,0.00161,0.00177,0.00197,0.0022,0.00249,0.00288,0.00338
36,0.00016,0.00021,0.00024,0.00027,0.00032,0.00039,0.00045,0.00053,0.00061,0.0007,0.0008,0.00091,0.00101,0.00112,0.00123,0.00135,0.00147,0.0016,0.00175,0.00193,0.00213,0.00239,0.00271,0.00313,0.00368
37,0.00017,0.00022,0.00025,0.00029,0.00035,0.00042,0.0005,0.00057,0.00067,0.00077,0.00088,0.001,0.00111,0.00123,0.00134,0.00146,0.0016,0.00174,0.0019,0.00209,0.00231,0.00259,0.00295,0.00342,0.00402
38,0.00018,0.00023,0.00026,0.00031,0.00039,0.00046,0.00054,0.00063,0.00073,0.00084,0.00097,0.00109,0.00121,0.00134,0.00146,0.0016,0.00174,0.00189,0.00207,0.00227,0.00251,0.00282,0.00321,0.00373,0.0044
39,0.00018,0.00024,0.00027,0.00034,0.00042,0.00051,0.00059,0.00069,0.0008,0.00092,0.00106,0.00119,0.00133,0.00146,0.0016,0.00174,0.00189,0.00205,0.00224,0.00246,0.00273,0.00308,0.00352,0.00409,0.00484
40,0.00019,0.00025,0.00028,0.00038,0.00046,0.00055,0.00064,0.00075,0.00087,0.00101,0.00115,0.0013,0.00144,0.00158,0.00173,0.00188,0.00204,0.00223,0.00243,0.00267,0.00298,0.00336,0.00386,0.00451,0.00533
41,0.0002,0.00026,0.00031,0.0004,0.0005,0.00059,0.0007,0.00081,0.00095,0.0011,0.00126,0.0014,0.00156,0.00172,0.00188,0.00203,0.00221,0.00241,0.00263,0.00291,0.00324,0.00368,0.00426,0.00498,0.00589
42,0.00021,0.00026,0.00034,0.00045,0.00055,0.00065,0.00076,0.00089,0.00103,0.00119,0.00136,0.00153,0.00169,0.00185,0.00202,0.0022,0.00239,0.00261,0.00286,0.00317,0.00356,0.00406,0.0047,0.00553,0.00655
43,0.00022,0.00027,0.00037,0.00048,0.00059,0.0007,0.00082,0.00097,0.00112,0.0013,0.00147,0.00165,0.00183,0.00201,0.00218,0.00238,0.00259,0.00283,0.00311,0.00346,0.0039,0.00449,0.00522,0.00615,0.0073
44,0.00023,0.00029,0.00041,0.00053,0.00064,0.00075,0.00089,0.00105,0.00122,0.0014,0.0016,0.00178,0.00197,0.00216,0.00235,0.00257,0.0028,0.00306,0.00339,0.0038,0.00431,0.00498,0.00581,0.00687,0.00816
45,0.00024,0.00032,0.00045,0.00057,0.00069,0.00082,0.00096,0.00114,0.00132,0.00152,0.00172,0.00192,0.00213,0.00233,0.00255,0.00277,0.00303,0.00334,0.00371,0.00417,0.00478,0.00554,0.0065,0.00769,0.00915
46,0.00024,0.00035,0.00049,0.00062,0.00075,0.00089,0.00105,0.00123,0.00144,0.00165,0.00186,0.00207,0.00228,0.0025,0.00274,0.003,0.00329,0.00364,0.00407,0.00461,0.0053,0.00619,0.00729,0.00864,0.01028
47,0.00025,0.00038,0.00053,0.00067,0.0008,0.00096,0.00113,0.00133,0.00155,0.00177,0.002,0.00223,0.00246,0.0027,0.00296,0.00325,0.00357,0.00398,0.00448,0.00512,0.00592,0.00694,0.00819,0.00972,0.01156
