Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
25,0.00031,0.00035,0.00039,0.00041,0.00044,0.00046,0.00050,0.00055,0.00059,0.00063,0.00077,0.00084,0.00093,0.00103,0.00115
26,0.00030,0.00035,0.00039,0.00043,0.00046,0.00050,0.00055,0.00059,0.00063,0.00069,0.00084,0.00093,0.00103,0.00115,0.00129
27,0.00030,0.00035,0.00041,0.00045,0.00050,0.00055,0.00059,0.00063,0.00066,0.00076,0.00093,0.00103,0.00115,0.00129,0.00145
28,0.00031,0.00036,0.00042,0.00048,0.00053,0.00059,0.00063,0.00066,0.00076,0.00086,0.00103,0.00115,0.00129,0.00145,0.00162
29,0.00032,0.00037,0.00044,0.00051,0.00057,0.00063,0.00066,0.00076,0.00086,0.00097,0.00115,0.00129,0.00145,0.00162,0.00179
30,0.00033,0.00039,0.00047,0.00054,0.00062,0.00066,0.00076,0.00086,0.00097,0.00108,0.00129,0.00145,0.00162,0.00179,0.00196
31,0.00035,0.00041,0.00050,0.00059,0.00066,0.00076,0.00086,0.00097,0.00108,0.00119,0.00145,0.00162,0.00179,0.00196,0.00214
32,0.00038,0.00044,0.00054,0.00065,0.00076,0.00086,0.00097,0.00108,0.00119,0.00131,0.00162,0.00179,0.00196,0.00214,0.00233
33,0.00039,0.00046,0.00057,0.00069,0.00082,0.00093,0.00107,0.00119,0.00131,0.00148,0.00177,0.00194,0.00212,0.00233,0.00252
34,0.00041,0.00049,0.00060,0.00074,0.00088,0.00102,0.00118,0.00131,0.00148,0.00164,0.00192,0.00210,0.00230,0.00251,0.00272
35,0.00043,0.00051,0.00063,0.00079,0.00095,0.00112,0.00130,0.00148,0.00164,0.00181,0.00207,0.00227,0.00246,0.00271,0.00292
36,0.00045,0.00054,0.00067,0.00085,0.00104,0.00123,0.00143,0.00163,0.00181,0.00200,0.00223,0.00243,0.00264,0.00292,0.00316
37,0.00048,0.00058,0.00071,0.00092,0.00113,0.00135,0.00156,0.00177,0.00198,0.00219,0.00239,0.00260,0.00282,0.00315,0.00342
38,0.00051,0.00064,0.00080,0.00104,0.00126,0.00149,0.00170,0.00192,0.00214,0.00235,0.00256,0.00278,0.00302,0.00338,0.00366
39,0.00055,0.00072,0.00089,0.00116,0.00139,0.00163,0.00185,0.00208,0.00230,0.00252,0.00274,0.00298,0.00323,0.00362,0.00394
40,0.00060,0.00080,0.00100,0.00128,0.00152,0.00178,0.00201,0.00224,0.00246,0.00269,0.00294,0.00319,0.00346,0.00391,0.00425
41,0.00065,0.00089,0.00110,0.00141,0.00166,0.00194,0.00217,0.00241,0.00263,0.00289,0.00315,0.00342,0.00372,0.00423,0.00458
42,0.00070,0.00098,0.00120,0.00154,0.00180,0.00210,0.00233,0.00258,0.00283,0.00310,0.00338,0.00369,0.00401,0.00457,0.00494
43,0.00076,0.00105,0.00129,0.00163,0.00190,0.00220,0.00245,0.00274,0.00301,0.00331,0.00364,0.00398,0.00434,0.00494,0.00537
44,0.00081,0.00112,0.00139,0.00171,0.00200,0.00230,0.00259,0.00290,0.00321,0.00355,0.00392,0.00430,0.00469,0.00537,0.00585
45,0.00086,0.00119,0.00148,0.00179,0.00210,0.00242,0.00273,0.00307,0.00343,0.00382,0.00423,0.00464,0.00507,0.00583,0.00636
