Table Name:,2008 VBT Male RR100 (UCS87) Smoker ANB ,,,,,,,,,,,,,,,,,,,,,,,,
Table Identity:,1008,,,,,,,,,,,,,,,,,,,,,,,,
Provider Domain:,soa.org,,,,,,,,,,,,,,,,,,,,,,,,
Provider Name:,Society of Actuaries,,,,,,,,,,,,,,,,,,,,,,,,
Table Reference:,"“Appendix  F – Relative Risk Tables”, Society of Actuaries. Accessed: October, 2012 from http://www.soa.org/Files/Zip/research-2008-vbt-report-app-f.pdf",,,,,,,,,,,,,,,,,,,,,,,,
Content Type:,Insured Lives Mortality,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,"2008 Valuation Basic Table (VBT) Relative Risk (RR) - Male 100% (UCS87), Smoker, Age Nearest Birthday. Minimum Age: 18. Maximum Age: 90",,,,,,,,,,,,,,,,,,,,,,,,
EffDate:,,,,,,,,,,,,,,,,,,,,,,,,,
Comments:,"Study Data: The underlying data used in developing the 2008 Valuation Basic Table (VBT) was a subset of the Society of Actuaries (SOA) Individual Life Experience Committee's (ILEC) 2002-2004 Intercompany Study comprised of claims from 35 contributing companies. Of these 35 companies, 28 companies maintained preferred class underwriting criteria. Nevertheless, this data proved insufficient to develop all the relationships needed for construction of the Relative Risk tables. Consequently, research from a reinsurer heavily supplemented the data. Note that subsequent to publication in March, 2008 of “2008 Valuation Basic Table” by the American Academy of Actuaries, the values (p. 189-190 for this particular table) were revised in February of 2009. Methodology: Relative Risk Ratios were developed from an Underwriting Criteria Score (UCS). The Relative Risk Ratios were then applied to the 2008 Primary Table to create 10 preferred non-smoker tables and 4 preferred smoker tables delineated by gender. Next, a Preferred Wear-Off Factor was applied to durations 2 and later. The Wear-Off Factors result in the relative risk tables grading into the corresponding aggregate table at higher attained ages. The Preferred Wear-Off Factors are the same for all the Relative Risk tables. This RR 100 table and the corresponding Primary table are essentially the same except that ages 0-17 are not included in the RR 100 table. Data Transcription Errors: None. Data Certified: 10/2012.",,,,,,,,,,,,,,,,,,,,,,,,
Keywords:,"Select,Insured Lives Mortality,United States of America",,,,,,,,,,,,,,,,,,,,,,,,

Table # ,1,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,"2008 Valuation Basic Table (VBT) Relative Risk (RR) - Male 100% (UCS87), Smoker, Age Nearest Birthday. Minimum Age: 18. Maximum Age: 90, Select",,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,Ordinal Date,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",18,1,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",90,25,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,1,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
18,0.00085,0.00085,0.00088,0.0009,0.00093,0.00094,0.00092,0.00094,0.00094,0.00096,0.00102,0.00109,0.00115,0.00122,0.00129,0.00137,0.00146,0.00158,0.0017,0.00186,0.00203,0.00224,0.00247,0.00275,0.00308
19,0.00083,0.00084,0.00088,0.0009,0.00091,0.00091,0.0009,0.00089,0.0009,0.00096,0.00102,0.00109,0.00117,0.00125,0.00133,0.00143,0.00155,0.00167,0.00181,0.00196,0.00217,0.0024,0.00265,0.00296,0.00332
20,0.00082,0.00084,0.00085,0.00087,0.00088,0.00086,0.00085,0.00085,0.00089,0.00096,0.00103,0.00111,0.0012,0.0013,0.00139,0.00149,0.00161,0.00175,0.0019,0.00208,0.0023,0.00256,0.00284,0.00319,0.0036
21,0.0008,0.00081,0.00081,0.00082,0.00082,0.00082,0.0008,0.00083,0.00088,0.00096,0.00104,0.00113,0.00124,0.00134,0.00146,0.00158,0.0017,0.00185,0.00202,0.0022,0.00243,0.00272,0.00305,0.00342,0.00383
22,0.00076,0.00075,0.00075,0.00077,0.00077,0.00077,0.00078,0.00082,0.00088,0.00096,0.00104,0.00116,0.00129,0.0014,0.00152,0.00164,0.00179,0.00194,0.00212,0.00233,0.00259,0.00292,0.00328,0.00365,0.00411
23,0.00071,0.00068,0.0007,0.00072,0.00072,0.00074,0.00077,0.00081,0.00088,0.00092,0.00107,0.0012,0.00133,0.00147,0.00161,0.00173,0.00188,0.00206,0.00224,0.00248,0.00276,0.0031,0.00346,0.00388,0.00437
24,0.00065,0.00062,0.00064,0.00066,0.00069,0.00073,0.00077,0.0008,0.00081,0.00095,0.00111,0.00124,0.0014,0.00153,0.00168,0.00182,0.00198,0.00216,0.00237,0.0026,0.00294,0.00325,0.00366,0.00413,0.00466
25,0.00058,0.00056,0.00058,0.00063,0.00068,0.00071,0.00074,0.00077,0.00085,0.00099,0.00114,0.00131,0.00146,0.00162,0.00177,0.00192,0.00207,0.00228,0.00249,0.00275,0.00307,0.00345,0.00388,0.00439,0.00499
26,0.00054,0.00053,0.00058,0.00062,0.00067,0.0007,0.0007,0.00077,0.00087,0.00102,0.00118,0.00134,0.00151,0.00167,0.00184,0.00201,0.00219,0.00242,0.00266,0.00297,0.00331,0.00372,0.00419,0.00472,0.00534
27,0.00049,0.00051,0.00057,0.00062,0.00067,0.00069,0.00071,0.00079,0.00091,0.00106,0.00123,0.0014,0.00158,0.00176,0.00193,0.00213,0.00233,0.00259,0.00287,0.0032,0.00357,0.00402,0.00452,0.00506,0.00575
28,0.00045,0.0005,0.00058,0.00065,0.00068,0.0007,0.00073,0.00081,0.00093,0.0011,0.00129,0.00149,0.00169,0.00188,0.00207,0.00227,0.00252,0.00278,0.0031,0.00346,0.00387,0.00435,0.00487,0.00545,0.00616
29,0.00043,0.00051,0.00059,0.00066,0.0007,0.00073,0.00078,0.00085,0.00098,0.00117,0.00138,0.00158,0.00181,0.00202,0.00222,0.00246,0.00271,0.00301,0.00336,0.00374,0.0042,0.0047,0.00523,0.00586,0.00664
30,0.0004,0.00052,0.00062,0.0007,0.00073,0.00078,0.00085,0.0009,0.00106,0.00125,0.00149,0.00172,0.00195,0.00219,0.00241,0.00267,0.00295,0.00329,0.00366,0.00407,0.00454,0.00507,0.00564,0.00629,0.00714
31,0.00038,0.00055,0.00067,0.00073,0.00078,0.00085,0.0009,0.00097,0.00114,0.00136,0.00161,0.00188,0.00212,0.00238,0.00264,0.00291,0.00322,0.00359,0.00398,0.00443,0.00493,0.00548,0.00608,0.00679,0.00773
32,0.00041,0.0006,0.00072,0.00078,0.00085,0.0009,0.00097,0.00106,0.00125,0.0015,0.00177,0.00205,0.00234,0.0026,0.00288,0.00319,0.00353,0.00391,0.00435,0.00482,0.00535,0.00591,0.00656,0.00734,0.00838
33,0.00043,0.00065,0.00077,0.00085,0.0009,0.00097,0.00105,0.00116,0.00139,0.00166,0.00197,0.00227,0.00256,0.00286,0.00317,0.0035,0.00387,0.00428,0.00476,0.00525,0.0058,0.00642,0.00712,0.00794,0.0091
34,0.00046,0.0007,0.00085,0.0009,0.00097,0.00105,0.00113,0.00128,0.00153,0.00183,0.00217,0.0025,0.00283,0.00314,0.00348,0.00385,0.00424,0.00469,0.00519,0.00573,0.00631,0.00695,0.0077,0.00863,0.00995
35,0.00051,0.00078,0.0009,0.00097,0.00105,0.00113,0.00123,0.00144,0.00172,0.00204,0.0024,0.00276,0.00311,0.00346,0.00384,0.00422,0.00468,0.00514,0.00567,0.00623,0.00686,0.00755,0.00838,0.00943,0.01088
36,0.00059,0.00084,0.00097,0.00105,0.00113,0.00123,0.00138,0.00161,0.00193,0.00227,0.00266,0.00304,0.00344,0.00383,0.00422,0.00465,0.00511,0.00564,0.00619,0.00678,0.00746,0.00821,0.00916,0.01032,0.01199
37,0.00064,0.00092,0.00105,0.00113,0.00123,0.00135,0.00152,0.00181,0.00214,0.00254,0.00295,0.00339,0.0038,0.00422,0.00465,0.0051,0.00561,0.00615,0.00675,0.0074,0.00811,0.00897,0.01003,0.01135,0.01323
38,0.00069,0.00098,0.00113,0.00123,0.00135,0.00151,0.00173,0.00203,0.00241,0.00284,0.00328,0.00373,0.00419,0.00464,0.0051,0.00561,0.00615,0.00674,0.00737,0.00807,0.00887,0.00983,0.01104,0.01254,0.01464
39,0.00078,0.00106,0.00121,0.00135,0.00149,0.00169,0.00194,0.00227,0.00269,0.00315,0.00362,0.00411,0.0046,0.00509,0.00561,0.00615,0.00674,0.00736,0.00806,0.00884,0.0097,0.0108,0.01216,0.0139,0.01626
40,0.00083,0.00114,0.00131,0.00149,0.00167,0.00191,0.00219,0.00256,0.00301,0.0035,0.00401,0.00455,0.00507,0.00561,0.00615,0.00674,0.00736,0.00806,0.00884,0.00967,0.01066,0.01189,0.01348,0.01544,0.01808
41,0.00088,0.00122,0.00145,0.00165,0.00189,0.00213,0.00247,0.00288,0.00336,0.00388,0.00444,0.00501,0.00559,0.00615,0.00674,0.00736,0.00806,0.00884,0.00967,0.01056,0.01173,0.01317,0.01497,0.01719,0.02013
