Table Name:,2008 VBT Male RR90 (UCS75) Non-Smoker ANB,,,,,,,,,,,,,,,,,,,,,,,,
Table Identity:,1049,,,,,,,,,,,,,,,,,,,,,,,,
Provider Domain:,soa.org,,,,,,,,,,,,,,,,,,,,,,,,
Provider Name:,American Academy of Actuaries along with the Society of Actuaries,,,,,,,,,,,,,,,,,,,,,,,,
Table Reference:,"“2008 Valuation Basic Table”, American Academy of Actuaries /Society of Actuaries, Joint Preferred Mortality Project Oversight Group (paper presented at the March 2008 meeting of the National Association of Insurance Commissioners’ Life and Health Actuarial Task Force, Orlando, Florida, March, 2008) p. 93-94. Accessed: October, 2012 from http://www.actuary.org/pdf/life/tables_march08.pdf",,,,,,,,,,,,,,,,,,,,,,,,
Content Type:,Insured Lives Mortality,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,"2008 Valuation Basic Table (VBT) Relative Risk (RR) - Male, 90% (UCS75), Non-Smoker, Age Nearest Birthday. Minimum Age: 18. Maximum Age: 90.",,,,,,,,,,,,,,,,,,,,,,,,
EffDate:,,,,,,,,,,,,,,,,,,,,,,,,,
Comments:,"Study Data: The underlying data used in developing the 2008 Valuation Basic Table (VBT) was a subset of the Society of Actuaries (SOA) Individual Life Experience Committee's (ILEC) 2002-2004 Intercompany Study comprised of claims from 35 contributing companies. Of these 35 companies, 28 companies maintained preferred class underwriting criteria. Nevertheless, this data proved insufficient to develop all the relationships needed for construction of the Relative Risk tables. Consequently, research from a reinsurer heavily supplemented the data. Methodology: Relative Risk Ratios were developed from an Underwriting Criteria Score (UCS). The Relative Risk Ratios were then applied to the 2008 Primary Table to create 10 preferred non-smoker tables and 4 preferred smoker tables delineated by gender. Next, a Preferred Wear-Off Factor was applied to durations 2 and later. The Wear-Off Factors result in the relative risk tables grading into the corresponding aggregate table at higher attained ages. The Preferred Wear-Off Factors are the same for all the Relative Risk tables. Data Transcription Errors: None. Data Certified: 10/2012.",,,,,,,,,,,,,,,,,,,,,,,,
Keywords:,"Select,Insured Lives Mortality,United States of America",,,,,,,,,,,,,,,,,,,,,,,,

Table # ,1,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,"2008 Valuation Basic Table (VBT) Relative Risk (RR) - Male, 90% (UCS75), Non-Smoker, Age Nearest Birthday. Minimum Age: 18. Maximum Age: 90. Select",,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,Duration ,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,Ordinal Date,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",18,1,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",90,25,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,1,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
18,0.00052,0.00057,0.00064,0.00069,0.00073,0.00074,0.00071,0.00069,0.00067,0.00065,0.00065,0.00067,0.00068,0.00069,0.00071,0.00074,0.00078,0.00083,0.00088,0.00094,0.00101,0.00109,0.00118,0.00128,0.00141
19,0.00054,0.00059,0.00065,0.00068,0.00069,0.00068,0.00066,0.00063,0.00061,0.00061,0.00062,0.00065,0.00067,0.00069,0.00072,0.00076,0.00081,0.00086,0.00091,0.00097,0.00106,0.00114,0.00124,0.00135,0.00148
20,0.00056,0.0006,0.00063,0.00065,0.00065,0.00062,0.00059,0.00057,0.00057,0.00059,0.0006,0.00064,0.00067,0.0007,0.00074,0.00078,0.00083,0.00088,0.00094,0.00101,0.00109,0.00119,0.00129,0.00143,0.00158
21,0.00056,0.00058,0.00059,0.00059,0.00058,0.00056,0.00053,0.00053,0.00054,0.00057,0.00059,0.00063,0.00068,0.00071,0.00076,0.00081,0.00086,0.00091,0.00098,0.00105,0.00113,0.00124,0.00136,0.0015,0.00165
22,0.00054,0.00053,0.00053,0.00053,0.00052,0.0005,0.00049,0.0005,0.00052,0.00055,0.00057,0.00063,0.00068,0.00073,0.00078,0.00083,0.00088,0.00094,0.00101,0.00108,0.00118,0.0013,0.00144,0.00158,0.00175
23,0.0005,0.00047,0.00047,0.00047,0.00047,0.00047,0.00047,0.00047,0.0005,0.00051,0.00057,0.00064,0.00069,0.00075,0.00081,0.00085,0.00091,0.00098,0.00104,0.00113,0.00123,0.00136,0.00149,0.00165,0.00184
24,0.00045,0.00042,0.00042,0.00042,0.00043,0.00044,0.00045,0.00046,0.00047,0.00051,0.00058,0.00065,0.00071,0.00077,0.00083,0.00088,0.00094,0.00101,0.00108,0.00117,0.00129,0.0014,0.00156,0.00174,0.00195
25,0.00039,0.00036,0.00036,0.00038,0.0004,0.00041,0.00042,0.00043,0.00045,0.00052,0.00059,0.00066,0.00073,0.0008,0.00085,0.00091,0.00097,0.00104,0.00112,0.00121,0.00133,0.00147,0.00163,0.00183,0.00207
26,0.00034,0.00032,0.00034,0.00036,0.00038,0.00039,0.0004,0.00043,0.00046,0.00053,0.0006,0.00067,0.00074,0.0008,0.00087,0.00094,0.001,0.00109,0.00117,0.00129,0.00141,0.00156,0.00174,0.00195,0.0022
27,0.00029,0.00029,0.00032,0.00034,0.00036,0.00036,0.0004,0.00043,0.00047,0.00054,0.0006,0.00068,0.00076,0.00083,0.0009,0.00097,0.00105,0.00114,0.00125,0.00137,0.0015,0.00167,0.00186,0.00208,0.00236
28,0.00025,0.00027,0.00031,0.00034,0.00034,0.00036,0.0004,0.00043,0.00048,0.00055,0.00062,0.00071,0.00079,0.00087,0.00094,0.00102,0.00111,0.00121,0.00133,0.00146,0.00161,0.00179,0.00199,0.00223,0.00252
29,0.00023,0.00026,0.0003,0.00033,0.00035,0.00036,0.0004,0.00043,0.00049,0.00056,0.00065,0.00073,0.00083,0.00091,0.00099,0.00108,0.00118,0.00129,0.00142,0.00156,0.00173,0.00192,0.00213,0.00239,0.0027
30,0.0002,0.00025,0.0003,0.00034,0.00036,0.00037,0.0004,0.00044,0.0005,0.00058,0.00069,0.00078,0.00087,0.00097,0.00105,0.00115,0.00126,0.00139,0.00153,0.00168,0.00186,0.00206,0.00229,0.00255,0.00289
31,0.00018,0.00025,0.00031,0.00035,0.00036,0.00037,0.0004,0.00045,0.00052,0.00062,0.00072,0.00083,0.00093,0.00103,0.00113,0.00124,0.00136,0.0015,0.00165,0.00182,0.00201,0.00221,0.00245,0.00274,0.00312
32,0.00018,0.00026,0.00032,0.00035,0.00037,0.00038,0.00041,0.00048,0.00056,0.00066,0.00077,0.00089,0.001,0.0011,0.00121,0.00133,0.00147,0.00162,0.00178,0.00196,0.00216,0.00238,0.00263,0.00295,0.00337
33,0.00019,0.00027,0.00033,0.00036,0.00038,0.00039,0.00044,0.00051,0.0006,0.00072,0.00084,0.00096,0.00107,0.00119,0.00131,0.00144,0.00159,0.00175,0.00194,0.00212,0.00233,0.00257,0.00284,0.00318,0.00364
34,0.00019,0.00028,0.00034,0.00037,0.00039,0.00042,0.00047,0.00055,0.00065,0.00077,0.0009,0.00103,0.00116,0.00128,0.00142,0.00157,0.00172,0.0019,0.0021,0.0023,0.00252,0.00276,0.00305,0.00344,0.00396
35,0.0002,0.00029,0.00035,0.00039,0.00041,0.00045,0.00051,0.0006,0.00071,0.00083,0.00097,0.00111,0.00124,0.00138,0.00154,0.0017,0.00188,0.00207,0.00228,0.00249,0.00272,0.00299,0.0033,0.00373,0.0043
36,0.00021,0.0003,0.00037,0.0004,0.00044,0.00049,0.00056,0.00065,0.00077,0.0009,0.00105,0.00119,0.00135,0.00151,0.00167,0.00185,0.00204,0.00226,0.00247,0.00269,0.00294,0.00322,0.00359,0.00406,0.0047
37,0.00022,0.00032,0.00038,0.00043,0.00047,0.00053,0.0006,0.00071,0.00083,0.00098,0.00113,0.0013,0.00146,0.00164,0.00182,0.00201,0.00223,0.00245,0.00268,0.00292,0.00318,0.0035,0.0039,0.00443,0.00515
38,0.00023,0.00033,0.0004,0.00045,0.00051,0.00058,0.00066,0.00077,0.00091,0.00106,0.00123,0.0014,0.00158,0.00178,0.00198,0.0022,0.00242,0.00266,0.00291,0.00317,0.00346,0.00381,0.00426,0.00486,0.00566
39,0.00023,0.00034,0.00042,0.00049,0.00055,0.00063,0.00072,0.00084,0.00098,0.00115,0.00132,0.00151,0.00171,0.00192,0.00215,0.00239,0.00264,0.00288,0.00315,0.00343,0.00375,0.00415,0.00467,0.00535,0.00625
40,0.00024,0.00036,0.00044,0.00052,0.0006,0.00069,0.00079,0.00092,0.00107,0.00124,0.00143,0.00164,0.00186,0.00209,0.00234,0.0026,0.00286,0.00314,0.00342,0.00373,0.0041,0.00454,0.00514,0.00591,0.00691
41,0.00025,0.00038,0.00047,0.00056,0.00066,0.00075,0.00087,0.001,0.00116,0.00134,0.00155,0.00178,0.00202,0.00227,0.00254,0.00282,0.0031,0.00341,0.00372,0.00406,0.00448,0.005,0.00567,0.00654,0.00767
42,0.00026,0.00039,0.00051,0.00061,0.00072,0.00083,0.00094,0.00109,0.00126,0.00145,0.00168,0.00193,0.00219,0.00247,0.00276,0.00306,0.00337,0.00369,0.00404,0.00444,0.00491,0.00551,0.00628,0.00727,0.00853
43,0.00027,0.00042,0.00055,0.00067,0.00079,0.0009,0.00103,0.00118,0.00137,0.00158,0.00182,0.00209,0.00238,0.00268,0.00299,0.00333,0.00367,0.00403,0.00441,0.00486,0.00541,0.0061,0.00699,0.00811,0.00951
44,0.00028,0.00044,0.00059,0.00073,0.00086,0.00098,0.00112,0.00128,0.00149,0.00172,0.00198,0.00227,0.00258,0.00291,0.00325,0.00362,0.00399,0.00439,0.00483,0.00534,0.00598,0.00678,0.00779,0.00907,0.01064
45,0.00029,0.00047,0.00064,0.00079,0.00093,0.00106,0.00121,0.00139,0.0016,0.00186,0.00215,0.00246,0.0028,0.00316,0.00354,0.00393,0.00434,0.00479,0.0053,0.0059,0.00664,0.00756,0.00871,0.01015,0.01191
46,0.00031,0.00052,0.0007,0.00087,0.00102,0.00116,0.00133,0.00152,0.00175,0.00202,0.00233,0.00268,0.00305,0.00344,0.00386,0.00429,0.00474,0.00525,0.00583,0.00653,0.00738,0.00846,0.00978,0.0114,0.01335
47,0.00033,0.00056,0.00077,0.00094,0.0011,0.00126,0.00144,0.00165,0.0019,0.0022,0.00254,0.00291,0.00332,0.00375,0.0042,0.00468,0.00519,0.00577,0.00644,0.00725,0.00825,0.00947,0.01097,0.0128,0.01498
48,0.00036,0.00062,0.00083,0.00103,0.00119,0.00137,0.00156,0.00179,0.00207,0.0024,0.00276,0.00317,0.00361,0.00409,0.00459,0.00511,0.0057,0.00636,0.00714,0.00808,0.00923,0.01064,0.01235,0.01439,0.01681
49,0.00039,0.00067,0.00091,0.00112,0.0013,0.00149,0.0017,0.00196,0.00226,0.00261,0.00301,0.00346,0.00394,0.00446,0.00501,0.00561,0.00627,0.00703,0.00795,0.00904,0.01036,0.01197,0.0139,0.01619,0.01888
50,0.00042,0.00073,0.001,0.00121,0.00141,0.00163,0.00185,0.00213,0.00247,0.00286,0.00329,0.00378,0.00432,0.00488,0.0055,0.00618,0.00694,0.00782,0.00886,0.01012,0.01165,0.01348,0.01565,0.01822,0.0212
51,0.00047,0.0008,0.00109,0.00132,0.00154,0.00177,0.00203,0.00234,0.0027,0.00313,0.00361,0.00415,0.00473,0.00537,0.00605,0.00682,0.00769,0.00871,0.00992,0.01138,0.01311,0.01519,0.01763,0.02049,0.0238
52,0.00052,0.00089,0.00118,0.00144,0.00168,0.00194,0.00222,0.00255,0.00296,0.00343,0.00396,0.00455,0.0052,0.0059,0.00669,0.00756,0.00856,0.00974,0.01114,0.0128,0.01478,0.01712,0.01985,0.02303,0.0267
53,0.00058,0.00096,0.00129,0.00157,0.00184,0.00212,0.00244,0.00282,0.00326,0.00378,0.00437,0.00502,0.00573,0.00652,0.00741,0.0084,0.00956,0.01092,0.01252,0.01442,0.01666,0.01929,0.02235,0.02587,0.02993
54,0.00064,0.00106,0.00141,0.00171,0.002,0.00232,0.00268,0.0031,0.00359,0.00417,0.00482,0.00554,0.00634,0.00724,0.00824,0.00938,0.01071,0.01226,0.0141,0.01626,0.01878,0.02172,0.02512,0.02903,0.0335
55,0.00071,0.00115,0.00153,0.00187,0.00219,0.00255,0.00295,0.00343,0.00398,0.00462,0.00534,0.00614,0.00704,0.00805,0.00919,0.0105,0.01202,0.0138,0.01589,0.01833,0.02116,0.02444,0.02821,0.03253,0.03748
56,0.00079,0.00126,0.00166,0.00204,0.00241,0.0028,0.00327,0.0038,0.00442,0.00513,0.00594,0.00684,0.00785,0.00899,0.01029,0.01178,0.01352,0.01554,0.01791,0.02065,0.02382,0.02747,0.03164,0.0364,0.04186
